Accession	ID	Name	TFs	EnsemblID
M00078	EVI1_01	Evi-1	Mecom	ENSMUSG00000027684
M00079	EVI1_02	Evi-1	Mecom	ENSMUSG00000027684
M00080	EVI1_03	Evi-1	Mecom	ENSMUSG00000027684
M00081	EVI1_04	Evi-1	Mecom	ENSMUSG00000027684
M00082	EVI1_05	Evi-1	Mecom	ENSMUSG00000027684
M00083	MZF1_01	MZF-1	Mzf1	ENSMUSG00000030380
M00084	MZF1_02	MZF-1	Mzf1	ENSMUSG00000030380
M00085	ZID_01	ZID	Zbtb6	ENSMUSG00000066798
M00086	IK1_01	Ik-1	Ikzf1	ENSMUSG00000018654
M00087	IK2_01	Ik-2	Ikzf1	ENSMUSG00000018654
M00088	IK3_01	Ik-3	Ikzf1	ENSMUSG00000018654
M00095	CDP_01	CDP	Cux1	ENSMUSG00000029705
M00096	PBX1_01	Pbx-1	Pbx1	ENSMUSG00000052534
M00097	PAX6_01	Pax-6	Pax6	ENSMUSG00000027168
M00098	PAX2_01	Pax-2	Pax2	ENSMUSG00000004231
M00099	S8_01	S8	Prrx2	ENSMUSG00000039476
M00100	CDXA_01	CdxA	Cdx1	ENSMUSG00000024619
M00101	CDXA_02	CdxA	Cdx1	ENSMUSG00000024619
M00102	CDP_02	CDP	Cux1	ENSMUSG00000029705
M00104	CDPCR1_01	CDP CR1	Cux1	ENSMUSG00000029705
M00105	CDPCR3_01	CDP CR3	Cux1	ENSMUSG00000029705
M00106	CDPCR3HD_01	CDP CR3+HD	Cux1	ENSMUSG00000029705
M00108	NRF2_01	NRF-2/GABP	Nfe2l2	ENSMUSG00000015839
M00109	CEBPB_01	C/EBPbeta	Cebpb	ENSMUSG00000056501
M00113	CREB_02	CREB	Creb1	ENSMUSG00000025958
M00114	TAXCREB_01	Tax/CREB	Creb1	ENSMUSG00000025958
M00115	TAXCREB_02	Tax/CREB	Creb1	ENSMUSG00000025958
M00116	CEBPA_01	C/EBPalpha	Cebpa;Hmgb1	ENSMUSG00000034957;ENSMUSG00000066551
M00117	CEBPB_02	C/EBPbeta	Cebpb	ENSMUSG00000056501
M00118	MYCMAX_01	c-Myc:Max	Max;Myc	ENSMUSG00000059436;ENSMUSG00000022346
M00119	MAX_01	Max	Max	ENSMUSG00000059436
M00121	USF_01	USF	Usf1	ENSMUSG00000026641
M00122	USF_02	USF	Usf1	ENSMUSG00000026641
M00123	MYCMAX_02	c-Myc:Max	Max;Myc	ENSMUSG00000059436;ENSMUSG00000022346
M00124	PBX1_02	Pbx-1b	Pbx1	ENSMUSG00000052534
M00126	GATA1_02	GATA-1	Gata1	ENSMUSG00000031162
M00127	GATA1_03	GATA-1	Gata1	ENSMUSG00000031162
M00128	GATA1_04	GATA-1	Gata1	ENSMUSG00000031162
M00129	HFH1_01	HFH1 (FOXQ1)	Foxq1	ENSMUSG00000038415
M00130	FOXD3_01	FOXD3	Foxd3	ENSMUSG00000067261
M00131	HNF3B_01	HNF3beta	Foxa2	ENSMUSG00000037025
M00133	TST1_01	Tst-1	Pou3f1	ENSMUSG00000090125
M00134	HNF4_01	HNF-4	Hnf4a	ENSMUSG00000017950
M00135	OCT1_01	Oct-1	Pou2f1	ENSMUSG00000026565
M00136	OCT1_02	Oct-1	Pou2f1	ENSMUSG00000026565
M00137	OCT1_03	Oct-1	Pou2f1	ENSMUSG00000026565
M00138	OCT1_04	Oct-1	Pou2f1	ENSMUSG00000026565
M00139	AHR_01	AhR	Ahr	ENSMUSG00000019256
M00141	LYF1_01	Lyf-1	Ikzf1	ENSMUSG00000018654
M00143	PAX5_01	Pax-5	Pax5	ENSMUSG00000014030
M00144	PAX5_02	Pax-5	Pax5	ENSMUSG00000014030
M00145	BRN2_01	Brn-2	Pou3f2	ENSMUSG00000095139
M00146	HSF1_01	HSF1	Hsf1	ENSMUSG00000022556
M00147	HSF2_01	HSF2	Hsf2	ENSMUSG00000019878
M00148	SRY_01	SRY	Sry	ENSMUSG00000069036
M00152	SRF_01	SRF	Srf	ENSMUSG00000015605
M00155	ARP1_01	ARP-1 (COUP-TF2)	Nr2f2	ENSMUSG00000030551
M00156	RORA1_01	RORalpha1	Rora	ENSMUSG00000032238
M00157	RORA2_01	RORalpha2	Rora	ENSMUSG00000032238
M00158	COUP_01	COUP-TF, HNF-4	Hnf4a;Nr2f1	ENSMUSG00000017950;ENSMUSG00000069171
M00159	CEBP_01	C/EBPalpha	Cebpa;Hmgb1	ENSMUSG00000034957;ENSMUSG00000066551
M00160	SRY_02	SRY	Sry	ENSMUSG00000069036
M00161	OCT1_05	Oct-1	Pou2f1	ENSMUSG00000026565
M00162	OCT1_06	Oct-1	Pou2f1	ENSMUSG00000026565
M00172	AP1FJ_Q2	AP-1	Fos;Jun	ENSMUSG00000021250;ENSMUSG00000052684
M00173	AP1_Q2	AP-1	Jun	ENSMUSG00000052684
M00174	AP1_Q6	AP-1	Jun	ENSMUSG00000052684
M00175	AP4_Q5	AP-4	Tfap4	ENSMUSG00000005718
M00176	AP4_Q6	AP-4	Tfap4	ENSMUSG00000005718
M00177	CREB_Q2	CREB	Creb1	ENSMUSG00000025958
M00178	CREB_Q4	CREB	Creb1	ENSMUSG00000025958
M00179	CREBP1_Q2	ATF2	Atf2	ENSMUSG00000027104
M00183	MYB_Q6	c-Myb	Myb	ENSMUSG00000019982
M00184	MYOD_Q6	MyoD	Myod1	ENSMUSG00000009471
M00185	NFY_Q6	NF-Y	Nfya;Nfyb;Nfyc	ENSMUSG00000023994;ENSMUSG00000020248;ENSMUSG00000032897
M00186	SRF_Q6	SRF	Srf	ENSMUSG00000015605
M00187	USF_Q6	USF	Usf1;Usf2	ENSMUSG00000026641;ENSMUSG00000058239
M00188	AP1_Q4	AP-1	Jun	ENSMUSG00000052684
M00189	AP2_Q6	AP-2	Tfap2a;Tfap2c	ENSMUSG00000021359;ENSMUSG00000028640
M00190	CEBP_Q2	C/EBP alpha	Cebpa;Hmgb1	ENSMUSG00000034957;ENSMUSG00000066551
M00191	ER_Q6	ER	Esr1	ENSMUSG00000019768
M00192	GR_Q6	GR	Nr3c1	ENSMUSG00000024431
M00193	NF1_Q6	NF-1	Nfia;Nfic	ENSMUSG00000028565;ENSMUSG00000055053
M00194	NFKB_Q6	NF-kappaB	Nfkb1	ENSMUSG00000028163
M00195	OCT1_Q6	Oct-1	Pou2f1	ENSMUSG00000026565
M00196	SP1_Q6	Sp1	Sp1	ENSMUSG00000001280
M00199	AP1_C	AP-1	Jun	ENSMUSG00000052684
M00201	CEBP_C	C/EBPalpha	Cebpa;Hmgb1	ENSMUSG00000034957;ENSMUSG00000066551
M00203	GATA_C	GATA-X	Gata1;Gata2;Gata3	ENSMUSG00000031162;ENSMUSG00000015053;ENSMUSG00000015619
M00205	GRE_C	GR	Nr3c1	ENSMUSG00000024431
M00208	NFKB_C	NF-kappaB	Nfkb1;Nfkb2	ENSMUSG00000028163;ENSMUSG00000025225
M00209	NFY_C	NF-Y	Nfya;Nfyb	ENSMUSG00000023994;ENSMUSG00000020248
M00210	OCT_C	OCT-x	Pou2f1;Pou2f2	ENSMUSG00000026565;ENSMUSG00000008496
M00215	SRF_C	SRF	Srf	ENSMUSG00000015605
M00216	TATA_C	TATA	Tbp	ENSMUSG00000014767
M00217	USF_C	USF	Usf1	ENSMUSG00000026641
M00220	SREBP1_01	SREBP-1	Srebf1	ENSMUSG00000020538
M00221	SREBP1_02	SREBP-1	Srebf1	ENSMUSG00000020538
M00222	HAND1E47_01	Hand1:E47	Hand1;Tcf3	ENSMUSG00000037335;ENSMUSG00000020167
M00223	STAT_01	STAT	Stat1;Stat2;Stat3;Stat4;Stat5a;Stat5b;Stat6	ENSMUSG00000026104;ENSMUSG00000040033;ENSMUSG00000004040;ENSMUSG00000062939;ENSMUSG00000004043;ENSMUSG00000020919;ENSMUSG00000002147
M00224	STAT1_01	STAT1	Stat1	ENSMUSG00000026104
M00225	STAT3_01	STAT3	Stat3	ENSMUSG00000004040
M00228	VBP_01	VBP	Tef	ENSMUSG00000022389
M00231	MEF2_02	MEF-2A	Mef2a;Mef2c	ENSMUSG00000030557;ENSMUSG00000005583
M00232	MEF2_03	MEF-2A	Mef2a;Mef2c	ENSMUSG00000030557;ENSMUSG00000005583
M00233	MEF2_04	MEF-2A	Mef2a;Mef2c	ENSMUSG00000030557;ENSMUSG00000005583
M00235	AHRARNT_01	AhR:Arnt	Ahr;Arnt;Arntl	ENSMUSG00000019256;ENSMUSG00000015522;ENSMUSG00000055116
M00236	ARNT_01	Arnt	Arnt;Arntl	ENSMUSG00000015522;ENSMUSG00000055116
M00237	AHRARNT_02	AhR:Arnt	Ahr;Arnt;Arntl	ENSMUSG00000019256;ENSMUSG00000015522;ENSMUSG00000055116
M00240	NKX25_01	Nkx2-5	Nkx2-5	ENSMUSG00000015579
M00241	NKX25_02	CSX	Nkx2-5	ENSMUSG00000015579
M00242	PPARA_01	PPARalpha:RXRalpha	Ppara;Rxra	ENSMUSG00000022383;ENSMUSG00000015846
M00243	EGR1_01	Egr-1	Egr1	ENSMUSG00000038418
M00244	NGFIC_01	NGFI-C	Egr4	ENSMUSG00000071341
M00245	EGR3_01	Egr-3	Egr3	ENSMUSG00000033730
M00246	EGR2_01	Egr-2	Egr2	ENSMUSG00000037868
M00248	OCT1_07	Oct-1	Pou2f1	ENSMUSG00000026565
M00249	CHOP_01	CHOP:C/EBPalpha	Cebpa;Ddit3;Hmgb1	ENSMUSG00000034957;ENSMUSG00000025408;ENSMUSG00000066551
M00250	GFI1_01	Gfi-1	Gfi1	ENSMUSG00000029275
M00251	XBP1_01	XBP-1	Xbp1	ENSMUSG00000020484
M00252	TATA_01	TATA	Tbp	ENSMUSG00000014767
M00256	NRSF_01	NRSF	Rest	ENSMUSG00000029249
M00257	RREB1_01	RREB-1	Rreb1	ENSMUSG00000039087
M00258	ISRE_01	ISGF-3	Irf9	ENSMUSG00000002325
M00260	HLF_01	HLF	Hlf	ENSMUSG00000003949
M00261	OLF1_01	Olf-1	Ebf4	ENSMUSG00000053552
M00262	STAF_01	Staf	Zfp143	ENSMUSG00000061079
M00264	STAF_02	Staf	Zfp143	ENSMUSG00000061079
M00269	XFD3_01	XFD-3	Foxa2	ENSMUSG00000037025
M00271	AML1_01	AML1a	Runx1	ENSMUSG00000022952
M00272	P53_02	p53	Trp53	ENSMUSG00000059552
M00277	LMO2COM_01	Lmo2 complex	Gata1;Ldb1;Lmo2;Tal1;Tcf3	ENSMUSG00000031162;ENSMUSG00000025223;ENSMUSG00000032698;ENSMUSG00000028717;ENSMUSG00000020167
M00278	LMO2COM_02	Lmo2 complex	Gata1;Ldb1;Lmo2;Tal1;Tcf3	ENSMUSG00000031162;ENSMUSG00000025223;ENSMUSG00000032698;ENSMUSG00000028717;ENSMUSG00000020167
M00279	MIF1_01	MIF-1	Gm4924;Hivep2;Rfx1	ENSMUSG00000073427;ENSMUSG00000015501;ENSMUSG00000031706
M00280	RFX1_01	RFX1	Rfx1	ENSMUSG00000031706
M00281	RFX1_02	RFX1	Rfx1	ENSMUSG00000031706
M00284	TCF11MAFG_01	TCF11:MafG	Mafg;Nfe2l1	ENSMUSG00000051510;ENSMUSG00000038615
M00285	TCF11_01	TCF11	Nfe2l1	ENSMUSG00000038615
M00289	HFH3_01	HFH3 (FOXI1)	Foxi1	ENSMUSG00000047861
M00290	FREAC2_01	Freac-2	Foxf2	ENSMUSG00000038402
M00291	FREAC3_01	Freac-3	Foxc1	ENSMUSG00000050295
M00292	FREAC4_01	Freac-4	Foxd1	ENSMUSG00000078302
M00293	FREAC7_01	Freac-7	Foxl1	ENSMUSG00000097084
M00294	HFH8_01	HFH8 (FOXF1A)	Foxf1	ENSMUSG00000042812
M00302	NFAT_Q6	NFAT	Nfatc1;Nfatc2;Nfatc3;Nfatc4	ENSMUSG00000033016;ENSMUSG00000027544;ENSMUSG00000031902;ENSMUSG00000023411
M00322	MYCMAX_B	c-Myc:Max	Max;Myc	ENSMUSG00000059436;ENSMUSG00000022346
M00325	NRSE_B	NRSE	Rest	ENSMUSG00000029249
M00326	PAX1_B	Pax-1	Pax1	ENSMUSG00000037034
M00327	PAX3_B	Pax-3	Pax3	ENSMUSG00000004872
M00328	PAX8_B	Pax-8	Pax8	ENSMUSG00000026976
M00329	PAX9_B	Pax-9	Pax9	ENSMUSG00000001497
M00332	WHN_B	Whn	Foxn1	ENSMUSG00000002057
M00333	ZF5_B	ZF5	Zbtb14	ENSMUSG00000049672
M00338	ATF_B	ATF	Gdnf	ENSMUSG00000022144
M00339	ETS1_B	c-Ets-1	Ets1	ENSMUSG00000032035
M00340	ETS_B	c-Ets	Ets1;Ets2	ENSMUSG00000032035;ENSMUSG00000022895
M00341	GABP_B	GABP	Gabpa;Gabpb1;Gabpb2	ENSMUSG00000008976;ENSMUSG00000027361;ENSMUSG00000038766
M00342	OCT1_B	Oct-1	Pou2f1	ENSMUSG00000026565
M00346	GATA1_05	GATA-1	Gata1	ENSMUSG00000031162
M00347	GATA1_06	GATA-1	Gata1	ENSMUSG00000031162
M00348	GATA2_02	GATA-2	Gata2	ENSMUSG00000015053
M00349	GATA2_03	GATA-2	Gata2	ENSMUSG00000015053
M00350	GATA3_02	GATA-3	Gata3	ENSMUSG00000015619
M00351	GATA3_03	GATA-3	Gata3	ENSMUSG00000015619
M00360	PAX3_01	Pax-3	Pax3	ENSMUSG00000004872
M00373	PAX4_01	Pax-4	Pax4	ENSMUSG00000029706
M00377	PAX4_02	Pax-4	Pax4	ENSMUSG00000029706
M00378	PAX4_03	Pax-4	Pax4	ENSMUSG00000029706
M00380	PAX4_04	Pax-4	Pax4	ENSMUSG00000029706
M00394	MSX1_01	Msx-1	Msx1	ENSMUSG00000048450
M00395	HOXA3_01	HOXA3	Hoxa3	ENSMUSG00000079560
M00396	EN1_01	En-1	En1	ENSMUSG00000058665
M00403	AMEF2_Q6	aMEF-2	Mef2a	ENSMUSG00000030557
M00405	MMEF2_Q6	MEF-2A	Mef2a	ENSMUSG00000030557
M00406	HMEF2_Q6	MEF-2A	Mef2a	ENSMUSG00000030557
M00407	RSRFC4_Q2	RSRFC4	Mef2a	ENSMUSG00000030557
M00410	SOX9_B1	Sox-9	Sox9	ENSMUSG00000000567
M00411	HNF4_01_B	HNF4alpha1	Hnf4a	ENSMUSG00000017950
M00412	AREB6_01	AREB6	Zeb1	ENSMUSG00000024238
M00413	AREB6_02	AREB6	Zeb1	ENSMUSG00000024238
M00414	AREB6_03	AREB6	Zeb1	ENSMUSG00000024238
M00415	AREB6_04	AREB6	Zeb1	ENSMUSG00000024238
M00416	CART1_01	Cart-1	Alx1	ENSMUSG00000036602
M00418	TGIF_01	TGIF	Tgif1	ENSMUSG00000047407
M00419	MEIS1_01	MEIS1	Meis1	ENSMUSG00000020160
M00420	MEIS1AHOXA9_01	MEIS1A:HOXA9	Hoxa9;Meis1	ENSMUSG00000038227;ENSMUSG00000020160
M00421	MEIS1BHOXA9_02	MEIS1B:HOXA9	Hoxa9;Meis1	ENSMUSG00000038227;ENSMUSG00000020160
M00422	FOXJ2_01	FOXJ2	Foxj2	ENSMUSG00000003154
M00423	FOXJ2_02	FOXJ2	Foxj2	ENSMUSG00000003154
M00424	NKX61_01	Nkx6-1	Nkx6-1	ENSMUSG00000035187
M00425	E2F_Q3	E2F	E2f1;E2f2;E2f3	ENSMUSG00000027490;ENSMUSG00000018983;ENSMUSG00000016477
M00426	E2F_Q4	E2F	E2f1;E2f2;E2f3	ENSMUSG00000027490;ENSMUSG00000018983;ENSMUSG00000016477
M00427	E2F_Q6	E2F	E2f1;E2f2;E2f3	ENSMUSG00000027490;ENSMUSG00000018983;ENSMUSG00000016477
M00428	E2F1_Q3	E2F-1	E2f1	ENSMUSG00000027490
M00430	E2F1_Q4	E2F-1	E2f1	ENSMUSG00000027490
M00431	E2F1_Q6	E2F-1	E2f1	ENSMUSG00000027490
M00432	TITF1_Q3	TTF1 (Nkx2-1)	Nkx2-1;Ttf1	ENSMUSG00000001496;ENSMUSG00000026803
M00433	HMX1_01	Hmx3 (Nkx5-1)	Hmx1;Hmx3	ENSMUSG00000067438;ENSMUSG00000040148
M00436	IPF1_Q4	ipf1	Pdx1	ENSMUSG00000029644
M00437	CHX10_01	CHX10	Vsx2	ENSMUSG00000021239
M00444	VDR_Q3	VDR	Vdr	ENSMUSG00000022479
M00446	SPZ1_01	Spz1	Spz1	ENSMUSG00000046957
M00447	AR_Q2	AR	Ar	ENSMUSG00000046532
M00448	ZIC1_01	Zic1	Zic1	ENSMUSG00000032368
M00449	ZIC2_01	Zic2	Zic2	ENSMUSG00000061524
M00450	ZIC3_01	Zic3	Zic3	ENSMUSG00000067860
M00451	NKX3A_01	Nkx3-1	Nkx3-1	ENSMUSG00000022061
M00453	IRF7_01	IRF-7	Irf7	ENSMUSG00000025498
M00454	MRF2_01	MRF2	Arid5b	ENSMUSG00000019947
M00456	FAC1_01	FAC1	Bptf	ENSMUSG00000040481
M00457	STAT5A_01	STAT5A (homodimer)	Stat5a	ENSMUSG00000004043
M00459	STAT5B_01	STAT5B (homodimer)	Stat5b	ENSMUSG00000020919
M00460	STAT5A_02	STAT5A (homotetramer)	Stat5a	ENSMUSG00000004043
M00462	GATA6_01	GATA-6	Gata6	ENSMUSG00000005836
M00463	POU3F2_01	POU3F2	Pou3f2	ENSMUSG00000095139
M00464	POU3F2_02	POU3F2	Pou3f2	ENSMUSG00000095139
M00465	POU6F1_01	POU6F1	Pou6f1	ENSMUSG00000009739
M00466	HIF1_Q5	HIF1	Hif1a	ENSMUSG00000021109
M00467	ROAZ_01	Roaz	Zfp423	ENSMUSG00000045333
M00468	AP2REP_01	AP-2rep	Klf12	ENSMUSG00000072294
M00469	AP2ALPHA_01	AP-2alpha	Tfap2a	ENSMUSG00000021359
M00470	AP2GAMMA_01	AP-2gamma	Tfap2c	ENSMUSG00000028640
M00471	TBP_01	TBP	Tbp	ENSMUSG00000014767
M00472	FOXO4_01	FOXO4	Foxo4	ENSMUSG00000042903
M00473	FOXO1_01	FOXO1	Foxo1	ENSMUSG00000044167
M00474	FOXO1_02	FOXO1	Foxo1	ENSMUSG00000044167
M00476	FOXO4_02	FOXO4	Foxo4	ENSMUSG00000042903
M00477	FOXO3_01	FOXO3	Foxo3	ENSMUSG00000048756
M00478	CDC5_01	Cdc5	Cdc5l	ENSMUSG00000023932
M00480	LUN1_01	LUN-1	Foxf2	ENSMUSG00000038402
M00481	AR_01	AR	Ar	ENSMUSG00000046532
M00482	PITX2_Q2	Pitx2	Pitx2	ENSMUSG00000028023
M00483	ATF6_01	ATF6	Atf6	ENSMUSG00000026663
M00484	NCX_01	Ncx	Tlx2	ENSMUSG00000068327
M00485	NKX22_01	Nkx2-2	Nkx2-2	ENSMUSG00000027434
M00486	PAX2_02	Pax-2	Pax2	ENSMUSG00000004231
M00489	NKX62_Q2	Nkx6-2	Nkx6-2	ENSMUSG00000041309
M00490	BACH2_01	Bach2	Bach2	ENSMUSG00000040270
M00491	MAZR_01	MAZR	Patz1	ENSMUSG00000020453
M00492	STAT1_02	STAT1	Stat1	ENSMUSG00000026104
M00493	STAT5A_03	STAT5A	Stat5a	ENSMUSG00000004043
M00494	STAT6_01	STAT6	Stat6	ENSMUSG00000002147
M00495	BACH1_01	Bach1	Bach1	ENSMUSG00000025612
M00496	STAT1_03	STAT1	Stat1	ENSMUSG00000026104
M00497	STAT3_02	STAT3	Stat3	ENSMUSG00000004040
M00498	STAT4_01	STAT4	Stat4	ENSMUSG00000062939
M00499	STAT5A_04	STAT5A	Stat5a	ENSMUSG00000004043
M00500	STAT6_02	STAT6	Stat6	ENSMUSG00000002147
M00510	LHX3A_01	Lhx3a	Lhx3	ENSMUSG00000026934
M00511	ERR1_Q2	ERR1	Esrra	ENSMUSG00000024955
M00512	PPARG_01	PPARgamma:RXRalpha	Pparg;Rxra	ENSMUSG00000000440;ENSMUSG00000015846
M00513	ATF3_Q6	ATF3	Atf3	ENSMUSG00000026628
M00514	ATF4_Q2	ATF4	Atf4	ENSMUSG00000042406
M00515	PPARG_02	PPARgamma:RXRalpha, PPARgamma	Pparg;Rxra	ENSMUSG00000000440;ENSMUSG00000015846
M00516	E2F_03	E2F-1	E2f1;E2f2;E2f3	ENSMUSG00000027490;ENSMUSG00000018983;ENSMUSG00000016477
M00517	AP1_01	AP-1	Fos;Fosb;Fosl1;Jun;Junb;Jund	ENSMUSG00000021250;ENSMUSG00000003545;ENSMUSG00000024912;ENSMUSG00000052684;ENSMUSG00000052837;ENSMUSG00000071076
M00518	PPARA_02	PPARalpha:RXRalpha	Ppara;Rxra	ENSMUSG00000022383;ENSMUSG00000015846
M00526	GCNF_01	GCNF	Nr6a1	ENSMUSG00000063972
M00528	PPARG_03	PPAR	Ppara;Pparg	ENSMUSG00000022383;ENSMUSG00000000440
M00531	NERF_Q2	nerf	Elf2	ENSMUSG00000037174
M00532	RP58_01	RP58	Zbtb18	ENSMUSG00000063659
M00538	HTF_01	HTF (XBP1)	Xbp1	ENSMUSG00000020484
M00539	ARNT_02	Arnt	Arnt;Arntl	ENSMUSG00000015522;ENSMUSG00000055116
M00615	MYCMAX_03	c-Myc:Max	Max;Myc	ENSMUSG00000059436;ENSMUSG00000022346
M00616	AFP1_Q6	AFP1	Zfhx3	ENSMUSG00000038872
M00619	ALX4_01	Alx-4	Alx4	ENSMUSG00000040310
M00621	CEBPD_Q6	C/EBPdelta	Cebpd	ENSMUSG00000071637
M00622	CEBPG_Q6	C/EBPgamma	Cebpg	ENSMUSG00000056216
M00623	CRX_Q4	Crx	Crx;Rax	ENSMUSG00000041578;ENSMUSG00000024518
M00624	DBP_Q6	DBP	Dbp	ENSMUSG00000059824
M00626	EFC_Q6	RFX1 (EF-C)	Rfx1;Rfx5;Rfxank;Rfxap	ENSMUSG00000031706;ENSMUSG00000005774;ENSMUSG00000036120;ENSMUSG00000036615
M00630	FOXM1_01	FOXM1	Foxm1	ENSMUSG00000001517
M00631	FXR_Q3	FXR:RXR-alpha	Nr1h4;Rxra	ENSMUSG00000047638;ENSMUSG00000015846
M00632	GATA4_Q3	GATA-4	Gata4	ENSMUSG00000021944
M00634	GCM_Q2	GCM	Gcm1	ENSMUSG00000023333
M00638	HNF4ALPHA_Q6	HNF4alpha	Hnf4a	ENSMUSG00000017950
M00639	HNF6_Q6	HNF-6	Onecut1;Onecut2	ENSMUSG00000043013;ENSMUSG00000045991
M00640	HOXA4_Q2	HOXA4	Hoxa4	ENSMUSG00000000942
M00641	HSF_Q6	HSF	Hsf1	ENSMUSG00000022556
M00644	LBP1_Q6	LBP-1	Tfcp2	ENSMUSG00000009733
M00646	LFA1_Q6	LF-A1	Hnf1b	ENSMUSG00000020679
M00647	LXR_Q3	LXR	Nr1h2;Nr1h3;Rxra	ENSMUSG00000060601;ENSMUSG00000002108;ENSMUSG00000015846
M00648	MAF_Q6	MAF	Maf	ENSMUSG00000055435
M00649	MAZ_Q6	MAZ	Maz	ENSMUSG00000030678
M00650	MTF1_Q4	MTF-1	Mtf1	ENSMUSG00000028890
M00652	NRF1_Q6	NRF-1	Nrf1	ENSMUSG00000058440
M00655	PEA3_Q6	PEA3	Etv4	ENSMUSG00000017724
M00658	PU1_Q6	PU.1	Spi1	ENSMUSG00000002111
M00665	SP3_Q3	Sp3	Sp3	ENSMUSG00000027109
M00671	TCF4_Q5	TCF-4	Tcf4;Tcf7l2	ENSMUSG00000053477;ENSMUSG00000024985
M00672	TEF_Q6	TEF	Tef	ENSMUSG00000022389
M00691	ATF1_Q6	ATF-1	Atf1	ENSMUSG00000023027
M00693	E12_Q6	E12	Tcf3	ENSMUSG00000020167
M00694	E4F1_Q6	E4F1	E4f1	ENSMUSG00000024137
M00695	ETF_Q6	ETF	Tead2	ENSMUSG00000030796
M00698	HEB_Q6	HEB	Tcf12	ENSMUSG00000032228
M00699	ICSBP_Q6	ICSBP	Irf8	ENSMUSG00000041515
